,Latitude,Longitude,Dec 25
0,33.18,-86.78,0.0
1,32.94,-85.96,0.0
2,33.59,-85.85,0.0
3,34.78,-86.95,0.0
4,33.45,-87.36,0.0
5,34.69,-86.88,0.0
6,33.4,-87.01,0.0
7,33.21,-88.29,0.0
8,32.66,-86.72,0.0
9,33.57,-86.74,0.0
10,34.2,-86.16,0.0
11,34.98,-85.8,0.0
12,33.45,-86.72,0.0
13,33.09,-86.75,0.0
14,34.15,-85.68,0.0
16,34.21,-86.8,0.0
17,30.25,-88.14,0.0
18,34.58,-86.93,0.0
19,34.66,-86.94,0.0
20,31.19,-85.37,0.0
23,31.42,-87.05,0.0
24,34.84,-87.57,0.0
25,34.44,-85.72,0.0
26,31.04,-85.87,0.0
27,34.33,-86.33,0.0
31,34.74,-86.7,0.0
32,34.64,-86.79,0.0
33,34.29,-86.57,0.0
34,34.96,-87.37,0.0
35,30.61,-88.06,0.0
36,30.69,-88.25,0.0
38,32.3,-86.41,0.0
39,34.49,-87.3,0.0
40,34.74,-87.6,0.0
41,34.76,-87.64,0.0
42,33.93,-86.42,0.0
43,34.55,-86.44,0.0
45,34.17,-86.81,0.0
46,34.29,-85.97,0.0
47,34.67,-86.05,0.0
48,31.86,-86.01,0.0
49,33.21,-87.62,0.0
50,33.21,-87.62,0.0
52,34.26,-86.9,0.0
53,34.73,-86.21,0.0
0,35.02,-94.16,0.0
1,34.67,-92.51,0.0
2,35.93,-91.06,0.0
3,34.8,-92.84,0.0
4,34.03,-93.43,0.0
7,35.76,-91.64,0.0
8,34.57,-92.6,0.0
10,33.31,-92.49,0.0
16,34.05,-94.4,0.0
17,34.05,-94.35,0.0
19,33.22,-92.81,0.0
21,36.01,-94.17,0.0
24,33.72,-94.4,0.0
25,35.33,-94.37,0.0
26,35.99,-92.72,0.0
28,35.52,-92.0,0.0
30,36.27,-93.16,0.0
31,35.51,-92.0,0.0
32,33.71,-93.56,0.0
36,35.85,-90.66,0.0
37,36.27,-92.19,0.0
39,33.36,-93.57,0.0
40,34.73,-92.24,0.0
42,33.26,-93.18,0.0
43,34.88,-92.35,0.0
44,35.91,-92.66,0.0
45,36.23,-93.6,0.0
47,33.64,-91.76,0.0
49,34.55,-93.58,0.0
50,36.35,-92.39,0.0
51,35.84,-92.1,0.0
54,33.93,-93.85,0.0
55,35.6,-91.27,0.0
56,34.82,-92.25,0.0
57,34.84,-92.26,0.0
60,36.03,-90.5,0.0
64,33.82,-93.39,0.0
69,33.46,-93.99,0.0
70,35.12,-90.18,0.0
1,34.6,-113.17,0.0
3,36.68,-110.54,1.0
5,36.21,-112.06,21.0
6,36.15,-109.54,0.0
7,33.82,-111.9,0.0
8,33.69,-111.97,0.0
9,34.77,-112.53,0.0
10,34.32,-112.12,0.0
13,35.22,-111.47,0.0
15,35.38,-111.73,18.0
16,35.17,-111.68,2.0
17,35.16,-111.67,2.5
18,35.17,-111.68,1.6
19,35.16,-111.68,2.5
22,35.16,-111.73,0.0
25,35.14,-111.67,3.9
27,34.11,-111.28,0.0
28,36.04,-111.83,1.0
30,34.39,-110.56,0.0
31,34.75,-112.11,0.0
32,34.11,-109.86,2.0
33,35.04,-111.02,0.0
34,34.61,-111.84,0.0
37,32.39,-110.7,0.0
38,34.32,-111.45,0.0
42,34.23,-111.34,0.0
47,36.11,-112.09,0.0
48,33.43,-112.0,0.0
53,31.8,-109.1,0.0
54,34.57,-112.43,0.0
71,32.52,-110.9,0.0
72,32.81,-109.68,0.0
73,34.52,-109.4,0.0
74,35.22,-109.32,0.0
76,35.33,-112.88,0.0
78,34.19,-110.01,0.0
80,34.26,-110.01,0.0
82,31.68,-110.66,0.0
86,33.97,-109.56,15.0
87,35.37,-111.54,0.0
88,33.66,-112.42,0.0
89,36.92,-109.09,0.0
90,33.43,-111.92,0.0
92,32.17,-111.13,0.0
93,34.77,-112.03,0.0
95,34.93,-112.81,0.0
96,34.31,-112.56,0.0
99,35.19,-112.18,3.0
100,35.52,-111.37,0.0
0,38.22,-121.2,0.0
1,41.19,-120.94,11.0
2,37.4,-119.74,0.0
3,39.21,-123.77,0.0
4,41.51,-120.36,14.0
7,35.43,-119.06,0.0
8,34.89,-117.02,0.0
9,34.85,-116.79,0.0
10,39.82,-120.32,12.0
12,34.24,-116.92,0.0
17,39.39,-120.09,17.0
22,41.53,-120.18,9.0
23,39.45,-121.28,0.0
24,40.3,-121.24,29.0
26,41.98,-122.34,1.0
28,34.24,-117.27,0.0
29,32.99,-116.59,0.0
30,36.46,-116.87,0.0
32,40.42,-123.58,0.0
33,41.96,-121.92,4.0
35,41.18,-122.28,2.0
36,33.81,-115.45,0.0
39,41.51,-122.92,9.5
42,40.81,-124.16,0.0
43,34.71,-118.43,0.0
45,40.57,-124.14,0.0
47,36.78,-119.72,0.0
49,34.17,-118.29,0.0
51,36.74,-118.96,13.0
55,37.84,-120.23,0.0
56,37.46,-122.44,0.0
57,36.31,-119.62,0.0
61,33.76,-116.71,0.0
63,35.63,-117.98,0.0
65,34.15,-116.27,0.0
80,36.99,-120.11,0.0
86,37.29,-120.52,0.0
87,34.09,-116.56,0.0
88,37.88,-121.93,0.0
91,41.32,-122.32,5.0
93,32.87,-116.42,0.0
94,39.25,-121.0,0.0
98,38.0,-120.49,0.0
101,34.59,-118.09,0.0
105,34.5,-117.9,0.0
108,39.81,-120.47,19.0
110,39.94,-120.95,3.0
112,33.83,-118.39,0.0
114,37.77,-122.43,0.0
116,34.59,-118.45,0.0
118,40.5,-121.84,3.5
121,37.31,-122.18,0.0
122,37.51,-119.63,7.0
123,39.3,-120.38,88.0
124,37.97,-120.39,0.0
126,37.0,-121.94,0.0
127,38.88,-120.03,27.0
128,40.42,-120.66,10.0
129,40.37,-120.67,12.5
131,39.17,-120.14,31.0
132,39.06,-120.13,34.0
136,35.76,-117.39,0.0
138,41.96,-121.47,3.0
140,34.07,-118.44,0.0
142,39.52,-120.03,10.0
143,36.33,-119.3,0.0
152,41.73,-122.65,6.0
153,34.13,-116.39,0.0
0,37.32,-104.95,1.0
1,37.36,-104.77,0.0
2,40.16,-103.14,0.0
3,37.47,-105.86,0.0
4,37.44,-105.86,0.0
5,40.19,-105.5,6.0
7,39.5,-108.38,3.0
8,38.99,-105.89,1.0
9,39.69,-103.15,0.0
10,38.85,-102.18,0.0
11,38.68,-102.16,0.0
14,39.85,-105.16,0.0
15,39.79,-105.16,0.0
17,39.19,-106.84,16.0
20,39.75,-104.85,0.0
23,38.26,-104.35,0.0
25,39.38,-106.92,11.5
26,37.31,-107.61,14.5
27,37.31,-107.61,14.0
28,37.32,-107.6,14.0
29,37.34,-107.61,14.0
34,40.28,-105.16,0.0
35,38.05,-105.0,0.0
36,38.55,-107.69,8.0
37,39.04,-104.74,1.0
38,39.1,-104.64,1.0
41,38.19,-106.1,0.5
43,39.66,-102.12,0.0
44,39.99,-105.27,0.0
48,40.04,-105.28,0.0
49,39.99,-105.26,0.0
51,40.05,-105.28,0.0
52,39.99,-105.24,0.0
55,40.04,-105.29,0.0
56,39.99,-105.26,0.0
57,39.99,-105.26,0.0
62,40.0,-105.18,0.0
63,40.06,-105.17,0.0
64,40.63,-104.33,0.0
68,39.94,-105.08,0.0
69,39.88,-105.11,0.0
70,39.99,-105.05,0.0
76,38.82,-106.13,1.0
77,38.86,-106.21,3.0
78,39.31,-102.26,0.0
79,39.66,-105.71,9.0
80,37.01,-102.55,0.0
81,38.46,-105.23,0.0
85,39.46,-107.18,8.0
87,39.4,-107.11,6.5
88,39.43,-107.11,8.5
89,39.41,-104.91,0.0
94,39.61,-104.94,0.0
96,39.58,-105.08,0.0
97,39.22,-105.28,0.0
98,38.12,-103.51,0.0
99,37.04,-106.76,12.0
102,39.08,-108.44,1.0
103,39.37,-106.19,38.0
104,38.44,-106.76,3.0
105,39.24,-107.96,3.0
106,39.24,-107.98,2.0
109,38.86,-104.82,0.0
110,39.0,-104.72,0.7
111,39.03,-104.75,1.0
114,38.91,-104.85,0.0
118,38.82,-104.7,0.0
119,38.81,-104.69,0.0
120,39.51,-105.34,1.0
121,39.49,-105.35,0.5
123,39.47,-105.39,0.0
124,37.34,-108.6,0.0
126,37.32,-108.56,0.0
129,37.85,-106.93,6.0
130,37.83,-106.93,3.0
131,38.87,-106.98,33.0
133,38.96,-106.99,41.0
134,37.98,-105.69,1.0
135,37.98,-105.69,1.0
136,37.93,-105.65,0.5
137,38.8,-105.2,1.0
138,38.81,-105.23,0.5
